Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
203,39.68272333,-106.9465383,2215.9,,,,,,,,,
204,39.682725,-106.9466133,2215.9,,,,,,,,,
205,39.68274333,-106.9466917,2215.7,,,,,,,,,
206,39.68272,-106.946795,2214.7,,,,,,,,,
207,39.68267833,-106.94691,2214.4,,,,,,,,,
208,39.68262167,-106.9469667,2214.3,,,,,,,,,
209,39.68259833,-106.947035,2213.7,,,,,,,,,
210,39.68264,-106.9470583,2213.6,,,,,,,,,
211,39.68267,-106.9471167,2213.2,,,,,,,,,
212,39.68269667,-106.94717,2213,,,,,,,,,
213,39.682755,-106.9472117,2212.6,,,,,,,,,
214,39.68283833,-106.9472567,2211.9,,,,,,,,,
215,39.68286667,-106.9473217,2210.9,,,,,,,,,
216,39.68290667,-106.947365,2210.3,,,,,,,,,
217,39.68296167,-106.9473733,2210.8,,,,,,,,,
218,39.68302667,-106.9473883,2209.5,,,,,,,,,
219,39.68309,-106.9474167,2208.9,,,,,,,,,
220,39.68314,-106.947455,2208.1,,,,,,,,,
221,39.68319333,-106.947485,2207.4,,,,,,,,,
222,39.68324,-106.9475317,2207.4,,,,,,,,,
223,39.68328333,-106.9475817,2206.7,,,,,,,,,
224,39.68330167,-106.9476167,2206.5,,,,,,,,,
225,39.68334167,-106.9476217,2206.3,,,,,,,,,
226,39.68337333,-106.9476617,2205.3,,,,,,,,,
227,39.68341333,-106.9477017,2204,,,,,,,,,
228,39.68342667,-106.947775,2203.6,,,,,,,,,
229,39.68345,-106.9478317,2203.4,,,,,,,,,
230,39.6835,-106.94788,2202.4,,,,,,,,,
231,39.68352,-106.9479367,2202.1,,,,,,,,,
232,39.68355333,-106.9479867,2202.2,,,,,,,,,
233,39.68359833,-106.94804,2201.7,,,,,,,,,
234,39.68364667,-106.948075,2201.2,,,,,,,,,
235,39.68367333,-106.9481483,2201.4,,,,,,,,,
236,39.68366,-106.9481967,2201.1,,,,,,,,,
237,39.68366667,-106.9482067,2201.1,,,,,,,,,
238,39.68367167,-106.9482217,2201.3,,,,,,,,,
239,39.68365833,-106.9482667,2201.5,,,,,,,,,
240,39.68364667,-106.9483567,2201,,,,,,,,,
241,39.68361833,-106.9484433,2200.9,,,,,,,,,
242,39.68361167,-106.9485433,2200.5,,,,,,,,,
243,39.68362167,-106.9486033,2200.5,,,,,,,,,
244,39.68365167,-106.948665,2200.5,,,,,,,,,
245,39.68367833,-106.94874,2200.8,,,,,,,,,
246,39.68372,-106.9487967,2200.8,,,,,,,,,
247,39.68376167,-106.94884,2200.9,,,,,,,,,
248,39.68378667,-106.9489117,2200.7,,,,,,,,,
249,39.68379333,-106.9489667,2200.7,,,,,,,,,
250,39.68380833,-106.9490417,2201.1,,,,,,,,,
251,39.68386,-106.9490717,2201.1,,,,,,,,,
252,39.68391667,-106.9490733,2201.3,,,,,,,,,
253,39.68396167,-106.9490967,2201.8,,,,,,,,,
254,39.684025,-106.9491233,2201.6,,,,,,,,,
255,39.68409833,-106.94914,2201.6,,,,,,,,,
256,39.68410833,-106.9492167,2201.6,,,,,,,,,
257,39.68407,-106.9492833,2201.4,,,,,,,,,
258,39.68404333,-106.949325,2201.7,,,,,,,,,
259,39.684045,-106.94934,2201.9,,,,,,,,,
260,39.68407667,-106.9494,2201.7,,,,,,,,,
261,39.68411667,-106.9494417,2201.9,,,,,,,,,
262,39.68416667,-106.94949,2202.2,,,,,,,,,
263,39.68420333,-106.9495567,2202.3,,,,,,,,,
264,39.68423667,-106.9496217,2202.8,,,,,,,,,
265,39.68426667,-106.9496633,2202.9,,,,,,,,,
266,39.68430333,-106.9497067,2202.9,,,,,,,,,
267,39.68434333,-106.9497483,2202.8,,,,,,,,,
268,39.68438333,-106.949805,2202.6,,,,,,,,,
269,39.68442333,-106.9498533,2202.5,,,,,,,,,
270,39.68447167,-106.949885,2202,,,,,,,,,
